actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-24.329973163604738,1000,101668,3.627302577495575,2899,56.87045836732467,50.8,65.0133014,102,101668,1,101668
-49.000006019592284,1000,105396,7.1747855687141415,2964,40.437904763844514,48.2,50.5317634,42,105396,2,105396
-55.73534103393555,1000,109094,15.265440465450286,3029,41.18731328390425,47.6,38.8926934,29,109094,3,109094
-40.45558502197266,1000,112337,52.187346170425414,3094,42.46257350579505,49.0,37.2528386,21,112337,4,112337
-83.39132996368409,1000,115446,354.50276722717285,3159,23.516446867558606,32.4,27.4615292,17,115446,5,115446
-180.94821798706056,1000,118557,343.88114071655275,3224,34.59603303767729,36.6,31.0357324,15,118557,6,118557
-228.3515211791992,1000,121956,338.3648254699707,3289,27.12534990927244,42.0,30.9998554,13,121956,7,121956
-198.08287609863282,1000,124681,547.3592153778076,3354,26.568760400802766,34.6,33.508089,11,124681,8,124681
-122.14312631225586,1000,127047,552.5454430541993,3419,47.834888931637536,54.6,52.749897,10,127047,9,127047
-92.64184317016601,1000,129379,576.6438056640625,3484,54.43800252167414,31.2,45.98636840000001,9,129379,10,129379
-113.14601908874512,1000,131652,938.5202941894531,3549,48.50213113078322,36.2,50.3953718,8,131652,11,131652
-146.37733447265626,1000,134114,1865.7085435791016,3614,48.15846545488561,33.0,47.8639858,8,134114,12,134114
-181.76313720703126,1000,136450,3827.2554539794924,3679,44.638278631484994,37.6,42.433505000000004,7,136450,13,136450
-274.35173693847656,1000,138803,11366.209000976563,3744,27.63913749182033,33.8,31.789311400000003,7,138803,14,138803
-454.62058532714843,1000,141215,47033.3705234375,3809,28.63051394203203,33.8,46.05614920000001,7,141215,15,141215
-690.9058824462891,1000,143468,168130.4023984375,3874,47.883146848414896,36.0,46.1202488,6,143468,16,143468
-917.4823449707031,1000,145951,495709.92215625,3939,34.19579368470436,33.2,37.4456234,6,145951,17,145951
-1091.0898466796875,1000,148702,1224184.92134375,4004,35.39328237525893,49.8,39.2672398,6,148702,18,148702
-1433.8392396240235,1000,151113,3590266.57125,4069,47.88288829544308,40.6,48.010301399999996,5,151113,19,151113
-2462.2583156738283,1000,153554,10818891.54725,4134,30.929435512861097,35.8,30.6225816,5,153554,20,153554
-3693.8459814453126,1000,156264,23729345.7215,4199,50.955950379143374,48.4,49.8936976,5,156264,21,156264
-6061.985523925781,1000,158941,86547624.842,4264,28.601767140282977,31.0,37.8860774,5,158941,22,158941
-13907.1635859375,1000,161658,140738110.524,4329,28.671221588015424,39.2,51.923076200000004,5,161658,23,161658
-23064.860431640624,1000,163964,376590930.416,4394,52.00449066048165,33.6,55.22205240000001,5,163964,24,163964
-37080.688734375,1000,166389,858992607.184,4459,50.32895885081106,30.8,43.3689594,4,166389,25,166389
-28757.38351953125,1000,168840,943309130.88,4524,59.946000298234374,47.2,58.7729056,4,168840,26,168840
-28545.92641796875,1000,171074,1238692527.648,4589,41.8711448614649,32.4,47.25116379999999,4,171074,27,171074
-32533.9007109375,1000,173566,1882402116.032,4654,44.47931577302398,34.8,46.664918799999995,4,173566,28,173566
-40441.91240625,1000,175789,2980322625.408,4719,50.50791706520785,29.2,44.3725178,4,175789,29,175789
-57324.3794921875,1000,178023,5429451197.952,4784,45.47266687642259,26.6,42.045028200000004,4,178023,30,178023
-77322.362234375,1000,180748,7677347428.224,4849,27.347869860953463,35.6,43.5957576,4,180748,31,180748
-112999.101921875,1000,183571,11774853949.44,4914,53.8335779801153,49.2,63.055786,4,183571,32,183571
-143957.875859375,1000,186424,16852923471.872,4979,53.66542329556167,33.8,42.544937399999995,4,186424,33,186424
-290512.55728125,1000,189085,35634163185.664,5044,42.05693851063876,35.2,45.3371062,4,189085,34,189085
-458561.1365,1000,191431,44087845066.752,5109,38.024855705160405,28.4,39.202117,4,191431,35,191431
-580150.116625,1000,193870,31117317560.32,5174,45.35557939124833,54.4,64.9595872,4,193870,36,193870
-433522.113125,1000,196493,15008332917.248,5239,55.21356834758677,38.6,57.42264180000001,3,196493,37,196493
-251497.80159375,1000,199138,9685309405.952,5304,60.675398316468915,41.2,65.356889,3,199138,38,199138
-156498.5385625,1000,201781,11513774141.952,5369,60.11430225330627,48.0,61.7553178,3,201781,39,201781
-135377.82990625,1000,204828,15248839004.928,5434,84.99114270625205,53.4,68.359796,3,204828,40,204828
-145381.0245625,1000,207716,23528641622.016,5499,261.6354885730334,72.6,84.4063536,3,207716,41,207716
-179373.94834375,1000,210875,34552073271.296,5564,247.42329512262128,91.8,131.87912820000003,3,210875,42,210875
-230569.2028125,1000,213726,35171101651.456,5629,30.870397679779696,33.0,46.682167400000004,3,213726,43,213726
-231829.88296875,1000,216424,28671531276.288,5694,50.282553381293695,38.8,52.42327759999999,3,216424,44,216424
-392437.321,1000,218787,48214930539.52,5759,39.38409775253157,34.8,47.9642852,3,218787,45,218787
-550110.54225,1000,222017,87234321403.904,5824,54.598295206326945,40.8,57.0782852,3,222017,46,222017
-706948.86975,1000,224976,130171313027.072,5889,59.247548391149586,37.4,60.1964474,3,224976,47,224976
-758178.48675,1000,228128,177072648884.224,5954,45.436066442732326,32.0,44.2724338,3,228128,48,228128
-806078.211625,1000,231188,235167121059.84,6019,59.39908727432234,40.6,51.4893666,3,231188,49,231188
-802565.573625,1000,233842,287890451218.432,6084,27.594088701083017,38.6,47.030658599999995,3,233842,50,233842
-754078.481875,1000,236746,449380030504.96,6149,67.79268440677673,53.6,62.718795,3,236746,51,236746
-686433.9410625,1000,239746,238385969602.56,6214,35.76910478280633,54.6,54.478019800000006,3,239746,52,239746
-658500.8090625,1000,242891,208076758474.752,6279,29.115057758123694,49.0,43.358867200000006,3,242891,53,242891
-570444.087375,1000,246457,187312150781.952,6344,94.28497967166447,57.2,62.651314400000004,3,246457,54,246457
-541533.755375,1000,250359,165723804131.328,6409,31.036521064886276,50.6,55.071065399999995,3,250359,55,250359
-509888.50825,1000,254047,188187776231.424,6474,71.85791396322514,41.8,53.285622599999996,3,254047,56,254047
-547054.3831875,1000,257621,594731158503.424,6539,46.45331342231227,56.8,51.734458599999996,3,257621,57,257621
-573986.53775,1000,260931,184708378058.752,6604,25.803866657433883,74.6,80.75868500000001,3,260931,58,260931
